,69A,70A,71A,77A,78A,72A,73A,75A,74A,65A,66A,67A,68A,76A,79A,80A,79B
aco,2.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0
tab,1.0,5.0,2.0,1.0,1.0,,2.0,2.0,2.0,,,,,3.0,4.0,1.0,5.0
kor,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,5.0
hun,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0
bma,4.0,1.0,3.0,,,4.0,2.0,,2.0,1.0,4.0,2.0,4.0,,4.0,1.0,1.0
dni,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,5.0
lkt,2.0,5.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,5.0
mar,2.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,,2.0,4.0,1.0,4.0,,4.0,4.0,5.0
khm,5.0,5.0,2.0,1.0,1.0,,2.0,,2.0,2.0,4.0,2.0,2.0,,4.0,1.0,5.0
knr,2.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0
goo,1.0,5.0,3.0,2.0,5.0,1.0,2.0,2.0,,2.0,1.0,1.0,4.0,,4.0,1.0,5.0
fij,5.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0
hin,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0
sup,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0
krk,2.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,,2.0,4.0,1.0,3.0,,,,
wic,4.0,1.0,1.0,2.0,2.0,,1.0,,2.0,1.0,4.0,1.0,4.0,,2.0,4.0,5.0
ket,1.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0
shk,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,,,,,3.0,4.0,3.0,5.0
lez,2.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0
kut,5.0,1.0,,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0
klv,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,3.0,4.0,1.0,5.0
