,1A,33A,19A,88A,83A,97A,11A,26A,69A,12A,82A,143F,6A,85A,143G,13A,144A,51A,86A,81A,2A,4A,95A,143A,143E,87A,5A,7A,18A,8A,3A
abk,5,2,4,1,1,2,1,4,2,3,1,2,2,1,4,1,20,9,1,1,1,4,1,11,2,2,2,2,1,2,5
hau,4,2,1,6,2,3,1,1,5,2,1,1,1,2,4,2,19,9,2,2,2,4,4,15,1,1,3,5,1,2,4
bkr,2,5,1,2,2,4,1,2,2,2,3,4,1,2,4,1,16,9,2,7,3,2,4,1,1,2,2,1,1,2,2
gar,2,8,1,1,1,2,1,2,2,2,1,2,1,1,4,1,20,6,1,1,2,2,1,4,4,2,2,1,1,1,3
chq,4,9,5,6,2,4,2,4,4,1,2,4,1,2,4,3,9,9,2,3,3,3,4,1,1,2,1,4,1,2,3
wlf,4,6,1,2,2,4,1,1,5,3,1,2,1,2,4,1,16,9,2,2,3,2,4,8,1,2,2,1,1,2,3
snm,1,7,1,1,1,2,1,1,5,2,1,1,1,1,4,1,8,6,1,1,3,1,1,2,4,2,1,1,1,1,1
chv,3,2,1,1,1,1,2,2,2,3,1,2,1,1,4,1,20,1,1,1,3,4,1,4,4,1,2,1,1,2,2
iaa,5,7,5,2,2,3,2,1,5,2,2,4,1,2,4,1,2,9,2,2,3,4,4,1,1,1,2,1,1,3,3
mab,3,2,1,2,1,2,1,3,2,3,1,3,1,1,4,2,19,3,3,1,3,4,1,15,4,2,3,1,1,2,3
ker,3,1,1,2,2,4,1,2,2,2,1,1,1,2,4,3,4,1,2,2,2,4,4,2,4,2,2,3,1,2,3
klv,3,6,1,2,2,4,1,5,1,2,2,4,1,2,4,1,21,9,1,7,2,2,4,1,1,2,2,1,1,2,3
arc,5,2,4,1,1,1,1,2,2,3,1,2,4,1,4,1,20,1,1,1,2,4,1,4,4,1,1,2,1,4,5
mao,1,7,1,6,2,4,1,1,5,1,2,4,1,2,4,1,1,9,2,3,2,1,4,1,1,2,1,1,1,1,1
maa,3,2,1,1,2,4,1,5,4,2,2,4,1,2,4,2,16,3,2,3,3,1,4,7,3,2,1,3,1,2,2
kmu,3,9,1,2,2,4,1,1,5,3,1,4,1,2,4,2,21,9,2,2,3,1,4,1,1,2,1,7,1,2,2
nor,3,2,1,1,2,3,2,2,2,3,1,1,1,2,4,2,16,1,3,2,3,2,4,6,1,1,2,1,1,2,2
poh,1,9,1,2,2,4,1,3,4,3,1,4,1,2,4,1,2,9,3,2,3,1,4,1,1,2,1,1,1,2,1
ain,1,2,1,1,1,1,1,4,2,2,1,4,1,1,4,2,7,9,1,1,2,1,1,1,1,1,1,1,1,1,2
mgg,3,8,1,1,1,1,1,2,2,2,1,4,2,1,4,1,7,6,1,1,2,4,1,1,1,1,2,1,1,2,4
ind,3,5,1,2,2,4,1,2,2,3,1,4,1,2,4,1,2,9,2,2,2,4,4,1,1,2,2,1,1,2,3
ruk,3,1,5,1,2,5,1,4,1,2,2,4,1,2,4,1,16,9,2,7,1,4,4,1,1,3,2,1,1,2,4
mun,4,2,1,1,1,1,1,2,2,2,1,4,1,1,4,1,7,9,1,1,2,2,1,1,1,1,2,1,1,2,4
sla,4,2,1,1,1,2,1,6,1,2,1,1,1,1,4,2,8,9,1,1,2,3,1,2,4,2,1,6,1,4,4
ala,2,8,1,1,1,1,1,2,2,3,1,4,1,1,4,1,7,6,1,1,3,2,1,1,1,1,2,1,1,1,2
hup,4,9,1,1,3,5,1,5,4,3,3,4,2,1,4,1,21,1,1,7,1,1,5,1,1,2,1,2,1,4,5
tab,2,8,1,2,2,4,1,1,1,3,1,1,1,2,4,1,4,9,1,2,2,2,4,2,4,2,2,1,1,2,3
jak,4,7,1,2,2,3,1,6,4,2,2,4,4,2,4,1,9,9,2,3,2,1,4,1,1,1,1,2,1,2,4
kry,2,2,1,1,1,1,1,3,4,3,1,2,2,1,4,1,18,1,1,1,2,1,1,14,2,1,1,1,1,2,3
spa,3,2,5,1,2,4,1,2,2,2,3,4,1,2,4,1,2,9,2,2,2,3,4,1,1,2,1,1,1,2,3
tur,3,2,1,1,1,1,2,2,2,2,1,2,1,1,4,1,20,1,1,1,3,4,1,4,4,1,2,1,1,2,3
eve,2,2,1,1,1,1,1,2,2,2,1,2,1,1,4,1,18,1,1,1,2,2,1,14,1,1,2,1,1,2,3
knk,3,2,1,2,2,5,1,2,2,2,1,1,1,2,4,2,18,9,2,2,2,2,4,14,1,3,2,3,1,4,3
